date,category_name,id,category,price,total_price_per_category_per_day
2015-06-13,food,2425560,3,63.0,9901.0
2012-01-20,furniture,2426014,10,98.0,29721.0
2021-02-08,furniture,2426092,15,33.0,26749.0
2013-11-19,food,2426229,1,63.0,11157.0
2015-02-12,furniture,2426254,13,36.0,25749.0
2015-08-19,furniture,2426265,10,31.0,28004.0
2019-01-27,food,2426295,5,6.0,10275.0
2019-07-19,food,2426566,2,44.0,9811.0
2019-01-27,food,2426886,3,77.0,10275.0
2019-11-07,furniture,2427134,9,48.0,28122.0
2019-04-08,food,2427570,0,49.0,11605.0
2016-05-10,food,2427915,5,75.0,10867.0
2019-04-20,furniture,2428063,11,75.0,27485.0
2021-09-18,furniture,2428662,19,51.0,26431.0
2015-02-12,furniture,2429143,7,51.0,25749.0
2015-06-13,food,2429341,2,56.0,9901.0
2012-01-20,furniture,2429598,15,18.0,29721.0
2021-09-18,furniture,2429636,16,52.0,26431.0
2019-04-20,furniture,2429975,8,35.0,27485.0
2013-03-13,food,2430127,3,1.0,10658.0
2013-03-13,food,2430143,2,53.0,10658.0
2021-02-08,furniture,2430511,10,44.0,26749.0
2017-02-16,furniture,2430677,10,72.0,26463.0
2017-02-17,food,2430821,2,1.0,10553.0
2019-11-07,furniture,2431443,19,57.0,28122.0
2019-09-08,food,2431586,0,3.0,11956.0
2015-08-09,food,2431754,4,53.0,10859.0
2020-06-15,furniture,2431824,16,97.0,25232.0
2012-01-20,furniture,2432163,12,97.0,29721.0
2019-04-08,food,2432217,1,91.0,11605.0
2020-01-13,furniture,2432410,14,34.0,25662.0
2015-08-09,food,2432470,2,4.0,10859.0
2017-05-19,food,2432475,4,37.0,10689.0
2019-11-07,furniture,2432554,17,51.0,28122.0
2017-02-16,furniture,2432726,11,26.0,26463.0
2020-01-13,furniture,2432868,18,54.0,25662.0
2012-01-20,furniture,2432963,17,98.0,29721.0
2013-03-13,food,2433181,4,98.0,10658.0
2013-11-23,food,2433540,0,43.0,11500.0
2019-04-20,furniture,2433820,10,59.0,27485.0
2017-02-17,food,2433916,5,52.0,10553.0
2019-09-08,food,2434003,2,8.0,11956.0
2016-05-10,food,2434146,3,0.0,10867.0
2015-08-23,food,2434289,5,36.0,10944.0
2017-02-16,furniture,2434498,10,2.0,26463.0
2021-02-08,furniture,2434728,14,82.0,26749.0
2019-11-08,food,2434775,0,30.0,11497.0
2021-02-08,furniture,2435202,10,4.0,26749.0
2013-03-13,food,2435595,1,49.0,10658.0
2019-09-08,food,2435612,5,73.0,11956.0
2017-02-16,furniture,2435760,18,57.0,26463.0
2019-07-19,food,2435825,0,24.0,9811.0
2015-04-27,food,2435883,5,5.0,9578.0
2015-01-17,furniture,2435938,15,78.0,25869.0
