id,date,category,price
2425236,2012-11-12,14,4.0
2425237,2015-12-05,19,74.0
2425238,2017-01-20,6,39.0
2425239,2021-01-10,14,60.0
2425240,2014-07-11,12,36.0
2425241,2013-01-24,5,78.0
2425242,2020-06-13,15,76.0
2425243,2015-05-06,5,73.0
2425244,2012-05-07,14,17.0
2425245,2012-10-24,19,44.0
2425246,2020-01-08,19,83.0
2425247,2018-08-28,10,90.0
2425248,2016-09-12,11,39.0
2425249,2014-07-04,10,1.0
2425250,2020-01-14,18,95.0
2425251,2012-07-02,18,67.0
2425252,2021-04-05,6,73.0
2425253,2012-08-21,18,77.0
2425254,2012-11-20,9,43.0
2425255,2017-04-05,7,16.0
2425256,2018-09-25,15,22.0
2425257,2013-10-07,15,22.0
2425258,2013-01-17,8,98.0
2425259,2018-04-24,5,28.0
2425260,2016-12-22,18,76.0
2425261,2015-04-19,5,84.0
2425262,2017-02-15,8,71.0
2425263,2018-07-12,4,49.0
2425264,2014-08-08,12,14.0
2425265,2012-06-03,4,9.0
2425266,2014-07-02,3,86.0
2425267,2013-12-24,18,3.0
2425268,2019-11-27,4,67.0
2425269,2021-03-01,1,94.0
2425270,2016-10-21,15,0.0
2425271,2015-03-26,14,3.0
2425272,2013-01-23,14,21.0
2425273,2018-08-05,17,16.0
2425274,2020-08-17,0,98.0
2425275,2014-09-28,14,1.0
2425276,2012-05-02,7,40.0
2425277,2017-10-08,2,45.0
2425278,2012-02-03,2,1.0
2425279,2015-11-09,14,62.0
2425280,2015-11-03,1,90.0
2425281,2013-05-21,1,60.0
2425282,2015-04-05,19,29.0
2425283,2017-11-18,13,94.0
2425284,2012-07-05,2,71.0
2425285,2012-03-23,3,96.0
2425286,2014-05-02,5,96.0
2425287,2015-12-17,8,73.0
2425288,2012-04-25,13,67.0
2425289,2013-09-26,12,27.0
2425290,2016-07-20,7,54.0
2425291,2019-12-24,7,29.0
2425292,2013-10-26,9,45.0
2425293,2015-12-09,2,20.0
2425294,2020-11-04,2,55.0
2425295,2017-01-11,4,76.0
2425296,2012-05-25,15,56.0
2425297,2013-01-21,18,15.0
2425298,2014-10-13,12,18.0
2425299,2012-09-27,9,40.0
2425300,2017-06-01,14,81.0
2425301,2017-11-19,19,38.0
2425302,2013-02-12,18,41.0
2425303,2017-06-20,1,64.0
2425304,2014-05-13,13,7.0
2425305,2014-01-15,3,33.0
2425306,2012-12-27,19,10.0
2425307,2016-06-27,2,64.0
2425308,2019-09-08,6,51.0
2425309,2014-12-12,15,54.0
2425310,2016-03-09,5,11.0
2425311,2014-08-12,2,78.0
2425312,2018-09-10,2,92.0
2425313,2021-10-17,19,55.0
2425314,2015-10-04,15,19.0
2425315,2016-09-02,4,41.0
2425316,2019-07-02,1,55.0
2425317,2016-09-02,18,73.0
2425318,2014-04-03,8,74.0
2425319,2021-06-08,8,44.0
2425320,2012-02-11,11,48.0
